model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
Decision Tree,gini,1,11,log2,0,0,0,0,0,0,0,0,0,0.744,0.634,0.775,0.677,0.00356

Decision Tree,gini,1,12,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00099

Decision Tree,gini,1,12,auto,0,0,0,0,0,0,0,0,0,0.731,0.618,0.825,0.746,0.00301

Decision Tree,gini,1,12,sqrt,0,0,0,0,0,0,0,0,0,0.725,0.609,0.85,0.781,0.002

Decision Tree,gini,1,12,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00203

Decision Tree,gini,1,13,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00194

Decision Tree,gini,1,13,auto,0,0,0,0,0,0,0,0,0,0.756,0.651,0.725,0.609,0.00201

Decision Tree,gini,1,13,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00095

Decision Tree,gini,1,13,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00104

Decision Tree,gini,1,14,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00098

Decision Tree,gini,1,14,auto,0,0,0,0,0,0,0,0,0,0.731,0.618,0.825,0.746,0.002

Decision Tree,gini,1,14,sqrt,0,0,0,0,0,0,0,0,0,0.744,0.634,0.775,0.677,0.002

Decision Tree,gini,1,14,log2,0,0,0,0,0,0,0,0,0,0.725,0.609,0.85,0.781,0.00101

Decision Tree,gini,1,15,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00155

Decision Tree,gini,1,15,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,0.95,0.949,0.00196

Decision Tree,gini,1,15,sqrt,0,0,0,0,0,0,0,0,0,0.725,0.609,0.85,0.781,0.001

Decision Tree,gini,1,15,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002

Decision Tree,gini,1,16,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00105

Decision Tree,gini,1,16,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00351

Decision Tree,gini,1,16,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00104

Decision Tree,gini,1,16,log2,0,0,0,0,0,0,0,0,0,0.756,0.651,0.725,0.609,0.001

Decision Tree,gini,1,17,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00103

Decision Tree,gini,1,17,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00194

Decision Tree,gini,1,17,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002

Decision Tree,gini,1,17,log2,0,0,0,0,0,0,0,0,0,0.762,0.66,0.7,0.576,0.002

Decision Tree,gini,1,18,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00204

Decision Tree,gini,1,18,auto,0,0,0,0,0,0,0,0,0,0.781,0.685,0.625,0.481,0.00356

Decision Tree,gini,1,18,sqrt,0,0,0,0,0,0,0,0,0,0.744,0.634,0.775,0.677,0.00155

Decision Tree,gini,1,18,log2,0,0,0,0,0,0,0,0,0,0.769,0.668,0.675,0.544,0.00199

Decision Tree,gini,1,19,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.001

Decision Tree,gini,1,19,auto,0,0,0,0,0,0,0,0,0,0.775,0.677,0.65,0.512,0.00201

Decision Tree,gini,1,19,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00191

Decision Tree,gini,1,19,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00151

Decision Tree,gini,1,20,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002

Decision Tree,gini,1,20,auto,0,0,0,0,0,0,0,0,0,0.738,0.626,0.8,0.711,0.00254

Decision Tree,gini,1,20,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002

Decision Tree,gini,1,20,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00103

Decision Tree,entropy,1,1,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00198

Decision Tree,entropy,1,1,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00151

Decision Tree,entropy,1,1,sqrt,0,0,0,0,0,0,0,0,0,0.775,0.677,0.65,0.512,0.001

Decision Tree,entropy,1,1,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00099

Decision Tree,entropy,1,2,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00259

Decision Tree,entropy,1,2,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00357

Decision Tree,entropy,1,2,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00097

Decision Tree,entropy,1,2,log2,0,0,0,0,0,0,0,0,0,0.769,0.668,0.675,0.544,0.001

Decision Tree,entropy,1,3,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00204

Decision Tree,entropy,1,3,auto,0,0,0,0,0,0,0,0,0,0.75,0.643,0.75,0.643,0.00303

Decision Tree,entropy,1,3,sqrt,0,0,0,0,0,0,0,0,0,0.738,0.626,0.8,0.711,0.002

Decision Tree,entropy,1,3,log2,0,0,0,0,0,0,0,0,0,0.725,0.609,0.85,0.781,0.002

Decision Tree,entropy,1,4,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002

Decision Tree,entropy,1,4,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00322

